Zeit;Verbrauch
2022-08-31 05:00:00;0,021
2022-08-31 06:00:00;0,034
2022-08-31 07:00:00;0,145
2022-08-31 08:00:00;0,374
2022-08-31 09:00:00;0,481
2022-08-31 10:00:00;0,616
2022-08-31 11:00:00;0,432
2022-08-31 12:00:00;0,485
2022-08-31 13:00:00;0,878
2022-08-31 14:00:00;1,159
2022-08-31 15:00:00;0,574
2022-08-31 16:00:00;0,32
2022-08-31 17:00:00;0,058
