Zeit;Verbrauch
2016-10-27 00:00:00;0,0
2016-10-27 01:00:00;0,0
2016-10-27 02:00:00;0,0
2016-10-27 03:00:00;0,0
2016-10-27 04:00:00;0,0
2016-10-27 05:00:00;0,0
2016-10-27 06:00:00;0,0
2016-10-27 07:00:00;0,0
2016-10-27 08:00:00;0,0
2016-10-27 09:00:00;0,783
2016-10-27 10:00:00;0,869
2016-10-27 11:00:00;0,84
2016-10-27 12:00:00;0,718
2016-10-27 13:00:00;0,638
2016-10-27 14:00:00;0,662
2016-10-27 15:00:00;0,741
2016-10-27 16:00:00;0,749
2016-10-27 17:00:00;0,675
2016-10-27 18:00:00;0,495
2016-10-27 19:00:00;0,0
2016-10-27 20:00:00;0,0
2016-10-27 21:00:00;0,0
2016-10-27 22:00:00;0,0
2016-10-27 23:00:00;0,0
