Zeit;Verbrauch
2023-06-09 00:00:00;0,0
2023-06-09 01:00:00;0,0
2023-06-09 02:00:00;0,0
2023-06-09 03:00:00;0,0
2023-06-09 04:00:00;0
2023-06-09 05:00:00;0,132
2023-06-09 06:00:00;0,081
2023-06-09 07:00:00;0,588
2023-06-09 08:00:00;1,54
2023-06-09 09:00:00;1,5
2023-06-09 10:00:00;1,79
2023-06-09 11:00:00;2,29
2023-06-09 12:00:00;3,11
2023-06-09 13:00:00;2,76
2023-06-09 14:00:00;2,24
2023-06-09 15:00:00;1,68
2023-06-09 16:00:00;1,42
2023-06-09 17:00:00;0,69
2023-06-09 18:00:00;0,28
2023-06-09 19:00:00;0,07
2023-06-09 20:00:00;0,01
2023-06-09 21:00:00;0,0
2023-06-09 22:00:00;0,0
2023-06-09 23:00:00;0,0
