Zeit;Verbrauch
2024-10-31 00:00:00;0,0
2024-10-31 01:00:00;0,0
2024-10-31 02:00:00;0,0
2024-10-31 03:00:00;0,0
2024-10-31 04:00:00;0,0
2024-10-31 05:00:00;0,0
2024-10-31 06:00:00;0
2024-10-31 07:00:00;0,097
2024-10-31 08:00:00;0,331
2024-10-31 09:00:00;0,032
2024-10-31 10:00:00;1,877
2024-10-31 11:00:00;0
2024-10-31 12:00:00;0
2024-10-31 13:00:00;0
2024-10-31 14:00:00;0
2024-10-31 15:00:00;0
2024-10-31 16:00:00;5,643
2024-10-31 17:00:00;0,0
2024-10-31 18:00:00;0,0
2024-10-31 19:00:00;0,0
2024-10-31 20:00:00;0,0
2024-10-31 21:00:00;0,0
2024-10-31 22:00:00;0,0
2024-10-31 23:00:00;0,0
