Zeit;Verbrauch
2024-08-12 00:00:00;0,0
2024-08-12 01:00:00;0,0
2024-08-12 02:00:00;0,0
2024-08-12 03:00:00;0,0
2024-08-12 04:00:00;0
2024-08-12 05:00:00;0,096
2024-08-12 06:00:00;0,102
2024-08-12 07:00:00;0,11
2024-08-12 08:00:00;1,158
2024-08-12 09:00:00;0
2024-08-12 10:00:00;0,755
2024-08-12 11:00:00;1,164
2024-08-12 12:00:00;0
2024-08-12 13:00:00;0
2024-08-12 14:00:00;0,368
2024-08-12 15:00:00;0
2024-08-12 16:00:00;0
2024-08-12 17:00:00;0
2024-08-12 18:00:00;0
2024-08-12 19:00:00;18,162
2024-08-12 20:00:00;0,0
2024-08-12 21:00:00;0,0
2024-08-12 22:00:00;0,0
2024-08-12 23:00:00;0,0
