Zeit;Verbrauch
2024-08-06 00:00:00;0,0
2024-08-06 01:00:00;0,0
2024-08-06 02:00:00;0,0
2024-08-06 03:00:00;0,0
2024-08-06 04:00:00;0
2024-08-06 05:00:00;0,084
2024-08-06 06:00:00;0,111
2024-08-06 07:00:00;0,24
2024-08-06 08:00:00;1,04
2024-08-06 09:00:00;1,64
2024-08-06 10:00:00;1,92
2024-08-06 11:00:00;1,97
2024-08-06 12:00:00;3,26
2024-08-06 13:00:00;2,8
2024-08-06 14:00:00;2,28
2024-08-06 15:00:00;1,62
2024-08-06 16:00:00;1,45
2024-08-06 17:00:00;0,51
2024-08-06 18:00:00;0,34
2024-08-06 19:00:00;0,04
2024-08-06 20:00:00;0,0
2024-08-06 21:00:00;0,0
2024-08-06 22:00:00;0,0
2024-08-06 23:00:00;0,0
