Zeit;Verbrauch
2024-08-23 00:00:00;0,0
2024-08-23 01:00:00;0,0
2024-08-23 02:00:00;0,0
2024-08-23 03:00:00;0,0
2024-08-23 04:00:00;0,0
2024-08-23 05:00:00;0
2024-08-23 06:00:00;0,18
2024-08-23 07:00:00;0,29
2024-08-23 08:00:00;0,9
2024-08-23 09:00:00;1,51
2024-08-23 10:00:00;1,67
2024-08-23 11:00:00;2,38
2024-08-23 12:00:00;3,03
2024-08-23 13:00:00;2,62
2024-08-23 14:00:00;1,99
2024-08-23 15:00:00;1,51
2024-08-23 16:00:00;1,14
2024-08-23 17:00:00;0,22
2024-08-23 18:00:00;0,08
2024-08-23 19:00:00;0,01
2024-08-23 20:00:00;0,0
2024-08-23 21:00:00;0,0
2024-08-23 22:00:00;0,0
2024-08-23 23:00:00;0,0
