Zeit;Verbrauch
2015-07-13 00:00:00;0,0
2015-07-13 01:00:00;0,0
2015-07-13 02:00:00;0,0
2015-07-13 03:00:00;0,0
2015-07-13 04:00:00;0,0
2015-07-13 05:00:00;0,0
2015-07-13 06:00:00;0,0
2015-07-13 07:00:00;0,0
2015-07-13 08:00:00;0,0
2015-07-13 09:00:00;1,683
2015-07-13 10:00:00;1,866
2015-07-13 11:00:00;1,804
2015-07-13 12:00:00;1,542
2015-07-13 13:00:00;1,371
2015-07-13 14:00:00;1,421
2015-07-13 15:00:00;1,591
2015-07-13 16:00:00;1,608
2015-07-13 17:00:00;1,45
2015-07-13 18:00:00;1,064
2015-07-13 19:00:00;0,0
2015-07-13 20:00:00;0,0
2015-07-13 21:00:00;0,0
2015-07-13 22:00:00;0,0
2015-07-13 23:00:00;0,0
