Zeit;Verbrauch
2024-05-19 00:00:00;0,0
2024-05-19 01:00:00;0,0
2024-05-19 02:00:00;0,0
2024-05-19 03:00:00;0,0
2024-05-19 04:00:00;0
2024-05-19 05:00:00;0,132
2024-05-19 06:00:00;0,37
2024-05-19 07:00:00;0,59
2024-05-19 08:00:00;1,68
2024-05-19 09:00:00;3,01
2024-05-19 10:00:00;3,33
2024-05-19 11:00:00;3,02
2024-05-19 12:00:00;3,24
2024-05-19 13:00:00;0
2024-05-19 14:00:00;1,387
2024-05-19 15:00:00;0
2024-05-19 16:00:00;0
2024-05-19 17:00:00;0,14
2024-05-19 18:00:00;0
2024-05-19 19:00:00;21,604
2024-05-19 20:00:00;0,0
2024-05-19 21:00:00;0,0
2024-05-19 22:00:00;0,0
2024-05-19 23:00:00;0,0
