Zeit;Verbrauch
2021-08-14 04:00:00;0,057
2021-08-14 05:00:00;0,226
2021-08-14 06:00:00;0,307
2021-08-14 07:00:00;0,84
2021-08-14 08:00:00;1,359
2021-08-14 09:00:00;1,65
2021-08-14 10:00:00;1,986
2021-08-14 11:00:00;2,825
2021-08-14 12:00:00;2,458
2021-08-14 13:00:00;1,932
2021-08-14 14:00:00;1,461
2021-08-14 15:00:00;1,256
2021-08-14 16:00:00;0,269
2021-08-14 17:00:00;0,122
2021-08-14 18:00:00;0,025
