Zeit;Verbrauch
2015-12-29 00:00:00;0,0
2015-12-29 01:00:00;0,0
2015-12-29 02:00:00;0,0
2015-12-29 03:00:00;0,0
2015-12-29 04:00:00;0,0
2015-12-29 05:00:00;0,0
2015-12-29 06:00:00;0,0
2015-12-29 07:00:00;0,0
2015-12-29 08:00:00;0,0
2015-12-29 09:00:00;0,188
2015-12-29 10:00:00;0,208
2015-12-29 11:00:00;0,202
2015-12-29 12:00:00;0,172
2015-12-29 13:00:00;0,153
2015-12-29 14:00:00;0,159
2015-12-29 15:00:00;0,178
2015-12-29 16:00:00;0,18
2015-12-29 17:00:00;0,162
2015-12-29 18:00:00;0,119
2015-12-29 19:00:00;0,0
2015-12-29 20:00:00;0,0
2015-12-29 21:00:00;0,0
2015-12-29 22:00:00;0,0
2015-12-29 23:00:00;0,0
