Zeit;Verbrauch
2025-03-31 00:00:00;0,0
2025-03-31 01:00:00;0,0
2025-03-31 02:00:00;0,0
2025-03-31 03:00:00;0,0
2025-03-31 04:00:00;0,0
2025-03-31 05:00:00;0
2025-03-31 06:00:00;0,018
2025-03-31 07:00:00;0,158
2025-03-31 08:00:00;0,242
2025-03-31 09:00:00;0,489
2025-03-31 10:00:00;1,639
2025-03-31 11:00:00;0
2025-03-31 12:00:00;3,061
2025-03-31 13:00:00;0
2025-03-31 14:00:00;4,397
2025-03-31 15:00:00;0,57
2025-03-31 16:00:00;0,24
2025-03-31 17:00:00;0,09
2025-03-31 18:00:00;0,04
2025-03-31 19:00:00;0,0
2025-03-31 20:00:00;0,0
2025-03-31 21:00:00;0,0
2025-03-31 22:00:00;0,0
2025-03-31 23:00:00;0,0
