Datum;Kostal
2025-07-01;21,74
2025-07-02;22,89
2025-07-03;18,87
2025-07-04;12,18
2025-07-05;19,0
2025-07-06;23,25
2025-07-07;12,42
2025-07-08;7,59
2025-07-09;8,91
2025-07-10;17,16
2025-07-11;27,21
2025-07-12;24,57
2025-07-13;25,41
2025-07-14;22,64
2025-07-15;11,33
2025-07-16;11,7
2025-07-17;9,9
2025-07-18;23,23
2025-07-19;23,89
2025-07-20;18,94
2025-07-21;20,46
2025-07-22;13,31
2025-07-23;19,24
2025-07-24;17,52
2025-07-25;10,31
2025-07-26;13,47
2025-07-27;5,55
2025-07-28;8,76
2025-07-29;6,22
2025-07-30;14,34
2025-07-31;12,43
