Datum;Kostal
2023-10-01;13,41
2023-10-02;14,28
2023-10-03;14,23
2023-10-04;12,99
2023-10-05;14,55
2023-10-06;12,97
2023-10-07;13,84
2023-10-08;12,15
2023-10-09;0,015
2023-10-10;0,029
2023-10-11;0,009
2023-10-12;0,037
2023-10-13;0,009
2023-10-14;0,027
2023-10-15;0,022
2023-10-16;0,019
2023-10-17;0,047
2023-10-18;0,03
2023-10-19;0,017
2023-10-20;0,023
2023-10-21;0,037
2023-10-22;0,017
2023-10-23;0,028
2023-10-24;0,032
2023-10-25;0,017
2023-10-26;0,032
2023-10-27;0,041
2023-10-28;0,051
2023-10-29;0,015
2023-10-30;0,007
2023-10-31;0,017
