Datum;Kostal
2025-03-01;5,75
2025-03-02;14,01
2025-03-03;14,17
2025-03-04;13,9
2025-03-05;13,99
2025-03-06;13,98
2025-03-07;14,02
2025-03-08;14,24
2025-03-09;14,66
2025-03-10;14,26
2025-03-11;4,47
2025-03-12;12,26
2025-03-13;5,74
2025-03-14;4,34
2025-03-15;6,4
2025-03-16;5,64
2025-03-17;4,74
2025-03-18;10,59
2025-03-19;16,15
2025-03-20;15,85
2025-03-21;17,52
2025-03-22;12,36
2025-03-23;16,34
2025-03-24;12,48
2025-03-25;17,55
2025-03-26;9,58
2025-03-27;4,59
2025-03-28;12,17
2025-03-29;7,26
2025-03-30;2,61
2025-03-31;13,15
