Datum;Kostal
2023-07-01;7,08
2023-07-02;14,32
2023-07-03;9,51
2023-07-04;14,99
2023-07-05;21,48
2023-07-06;8,67
2023-07-07;22,44
2023-07-08;19,87
2023-07-09;20,03
2023-07-10;23,96
2023-07-11;20,05
2023-07-12;22,43
2023-07-13;9,96
2023-07-14;13,39
2023-07-15;22,54
2023-07-16;22,97
2023-07-17;20,57
2023-07-18;20,99
2023-07-19;15,66
2023-07-20;13,93
2023-07-21;22,55
2023-07-22;9,87
2023-07-23;17,66
2023-07-24;22,08
2023-07-25;10,01
2023-07-26;6,72
2023-07-27;10,06
2023-07-28;13,95
2023-07-29;12,09
2023-07-30;8,41
2023-07-31;13,8
