Datum;Kostal
2025-08-01;11,09
2025-08-02;11,31
2025-08-03;6,42
2025-08-04;12,71
2025-08-05;11,22
2025-08-06;14,75
2025-08-07;21,47
2025-08-08;23,15
2025-08-09;18,05
2025-08-10;17,77
2025-08-11;19,89
2025-08-12;18,06
2025-08-13;17,73
2025-08-14;17,43
2025-08-15;19,0
2025-08-16;17,55
2025-08-17;17,19
2025-08-18;17,06
2025-08-19;21,09
2025-08-20;20,46
2025-08-21;7,79
2025-08-22;8,31
2025-08-23;16,53
2025-08-24;12,02
2025-08-25;19,26
2025-08-26;17,39
2025-08-27;16,8
2025-08-28;16,95
2025-08-29;4,48
2025-08-30;18,07
2025-08-31;10,92
