Datum;Kostal
2024-12-01;3,07
2024-12-02;4,78
2024-12-03;2,75
2024-12-04;1,86
2024-12-05;1,12
2024-12-06;5,9
2024-12-07;5,33
2024-12-08;2,19
2024-12-09;2,3
2024-12-10;2,44
2024-12-11;3,01
2024-12-12;4,15
2024-12-13;4,55
2024-12-14;2,78
2024-12-15;2,36
2024-12-16;2,46
2024-12-17;5,51
2024-12-18;3,98
2024-12-19;1,91
2024-12-20;0,96
2024-12-21;1,51
2024-12-22;4,63
2024-12-23;0,61
2024-12-24;0,01
2024-12-25;1,61
2024-12-26;5,82
2024-12-27;5,85
2024-12-28;1,66
2024-12-29;1,64
2024-12-30;2,15
2024-12-31;1,55
