Datum;Kostal
2023-04-02;0,808
2023-04-03;14,74
2023-04-04;4,61
2023-04-05;17,85
2023-04-06;17,71
2023-04-07;17,72
2023-04-08;16,82
2023-04-09;6,07
2023-04-10;19,2
2023-04-11;17,37
2023-04-12;5,45
2023-04-13;10,12
2023-04-14;9,88
2023-04-15;17,27
2023-04-16;12,98
2023-04-17;4,27
2023-04-18;17,45
2023-04-19;19,38
2023-04-20;10,41
2023-04-21;4,92
2023-04-22;19,09
2023-04-23;19,81
2023-04-24;14,28
2023-04-25;9,65
2023-04-26;8,35
2023-04-27;17,2
2023-04-28;16,6
2023-04-29;4,03
2023-04-30;19,11
