Datum;Kostal
2025-12-01;2,4
2025-12-02;5,63
2025-12-03;2,04
2025-12-04;1,33
2025-12-05;1,04
2025-12-06;2,1
2025-12-07;2,29
2025-12-08;1,34
2025-12-09;2,95
2025-12-10;1,82
2025-12-11;3,01
2025-12-12;2,77
2025-12-13;4,94
2025-12-14;1,73
2025-12-15;1,73
2025-12-16;1,04
2025-12-17;1,07
2025-12-18;3,78
2025-12-19;2,02
2025-12-20;1,76
2025-12-21;2,57
2025-12-22;1,24
2025-12-23;2,47
2025-12-24;1,75
2025-12-25;0,47
2025-12-26;5,36
2025-12-27;3,18
2025-12-28;1,87
2025-12-29;1,48
2025-12-30;1,24
2025-12-31;2,49
