Datum;Kostal
2023-12-01;0,019
2023-12-02;0,027
2023-12-06;0,007
2023-12-07;0,018
2023-12-08;0,017
2023-12-09;0,039
2023-12-10;0,032
2023-12-11;0,034
2023-12-12;0,029
2023-12-13;0,026
2023-12-14;0,015
2023-12-15;0,018
2023-12-16;0,009
2023-12-17;0,024
2023-12-18;0,034
2023-12-19;0,068
2023-12-20;0,027
2023-12-21;0,035
2023-12-22;0,004
2023-12-23;0,022
2023-12-24;0,008
2023-12-25;0,059
2023-12-26;0,059
2023-12-27;0,008
2023-12-28;0,012
2023-12-29;0,023
2023-12-30;0,028
2023-12-31;0,029
