Datum;Kostal
2025-04-01;6,68
2025-04-02;18,44
2025-04-03;18,36
2025-04-04;18,58
2025-04-05;16,26
2025-04-06;18,2
2025-04-07;19,77
2025-04-08;18,16
2025-04-09;19,61
2025-04-10;20,3
2025-04-11;19,23
2025-04-12;19,36
2025-04-13;17,28
2025-04-14;14,14
2025-04-15;19,38
2025-04-16;15,33
2025-04-17;20,42
2025-04-18;8,72
2025-04-19;8,9
2025-04-20;19,26
2025-04-21;12,05
2025-04-22;19,8
2025-04-23;22,57
2025-04-24;17,6
2025-04-25;7,74
2025-04-26;12,86
2025-04-27;21,69
2025-04-28;19,2
2025-04-29;20,46
2025-04-30;18,94
