Datum;Kostal
2025-11-02;0,01
2025-11-03;1,34
2025-11-04;7,4
2025-11-05;8,52
2025-11-06;7,19
2025-11-07;2,65
2025-11-08;1,94
2025-11-09;2,45
2025-11-10;1,35
2025-11-11;3,96
2025-11-12;7,74
2025-11-13;6,17
2025-11-14;6,93
2025-11-15;5,59
2025-11-16;7,06
2025-11-17;1,86
2025-11-18;0,81
2025-11-19;7,84
2025-11-20;5,51
2025-11-21;3,4
2025-11-22;1,52
2025-11-23;5,26
2025-11-24;6,07
2025-11-25;1,23
2025-11-26;2,24
2025-11-27;1,73
2025-11-28;6,26
2025-11-29;6,73
2025-11-30;3,54
