Datum;Kostal
2024-05-02;19,41
2024-05-03;20,24
2024-05-04;6,04
2024-05-05;23,09
2024-05-06;13,67
2024-05-07;10,65
2024-05-08;5,06
2024-05-09;10,84
2024-05-10;22,37
2024-05-11;24,77
2024-05-12;21,34
2024-05-13;23,28
2024-05-14;14,71
2024-05-15;20,82
2024-05-16;16,21
2024-05-17;24,08
2024-05-18;9,39
2024-05-19;22,67
2024-05-20;21,76
2024-05-21;22,09
2024-05-22;6,89
2024-05-23;12,62
2024-05-24;10,12
2024-05-25;24,67
2024-05-26;26,35
2024-05-27;25,78
2024-05-28;15,3
2024-05-29;17,09
2024-05-30;18,78
2024-05-31;12,18
