Datum;Kostal
2025-01-01;2,25
2025-01-02;2,74
2025-01-03;2,58
2025-01-04;0,4
2025-01-05;1,7
2025-01-06;1,89
2025-01-07;3,24
2025-01-08;5,33
2025-01-09;1,69
2025-01-10;3,68
2025-01-11;6,26
2025-01-12;6,76
2025-01-13;5,69
2025-01-14;7,07
2025-01-15;5,73
2025-01-16;4,07
2025-01-17;7,09
2025-01-18;2,49
2025-01-19;5,89
2025-01-20;2,14
2025-01-21;2,2
2025-01-22;2,06
2025-01-23;2,02
2025-01-24;5,83
2025-01-25;7,09
2025-01-26;7,63
2025-01-27;7,17
2025-01-28;3,09
2025-01-29;1,36
2025-01-30;8,64
2025-01-31;6,02
