Datum;Kostal
2023-09-01;10,24
2023-09-02;18,19
2023-09-03;18,72
2023-09-04;17,26
2023-09-05;19,91
2023-09-06;16,69
2023-09-07;18,68
2023-09-08;16,22
2023-09-09;16,34
2023-09-10;16,08
2023-09-11;16,85
2023-09-12;18,11
2023-09-13;14,77
2023-09-14;5,99
2023-09-15;12,95
2023-09-16;17,03
2023-09-17;16,97
2023-09-18;16,9
2023-09-19;5,54
2023-09-20;9,1
2023-09-21;16,29
2023-09-22;16,24
2023-09-23;1,75
2023-09-24;10,17
2023-09-25;15,67
2023-09-26;14,93
2023-09-27;14,93
2023-09-28;14,53
2023-09-29;15,68
2023-09-30;13,22
