Datum;Kostal
2024-09-01;18,16
2024-09-02;18,08
2024-09-03;16,74
2024-09-04;15,17
2024-09-05;13,09
2024-09-06;10,28
2024-09-07;17,88
2024-09-08;19,12
2024-09-09;5,01
2024-09-10;5,11
2024-09-11;8,87
2024-09-12;6,89
2024-09-13;11,35
2024-09-14;6,05
2024-09-15;7,3
2024-09-16;17,98
2024-09-17;3,91
2024-09-18;12,23
2024-09-19;15,62
2024-09-20;16,64
2024-09-21;16,83
2024-09-22;15,54
2024-09-23;13,22
2024-09-24;11,04
2024-09-25;10,33
2024-09-26;12,08
2024-09-27;3,57
2024-09-28;6,17
2024-09-29;4,3
2024-09-30;0,19
