Datum;Kostal
2026-03-01;9,12
2026-03-02;6,18
2026-03-03;7,12
2026-03-04;10,1
2026-03-05;12,33
2026-03-06;13,25
2026-03-07;10,51
2026-03-08;13,25
2026-03-09;13,45
2026-03-10;9,32
2026-03-11;13,81
2026-03-12;9,94
2026-03-13;8,87
2026-03-14;15,08
2026-03-15;3,48
2026-03-16;10,13
2026-03-17;6,46
2026-03-18;12,29
2026-03-19;14,63
2026-03-20;14,39
2026-03-21;15,28
2026-03-22;13,73
2026-03-23;15,48
2026-03-24;12,08
2026-03-25;16,72
2026-03-26;10,65
2026-03-27;5,38
2026-03-28;9,54
2026-03-29;16,9
2026-03-30;6,62
2026-03-31;4,13
