Datum;Kostal
2025-05-01;19,01
2025-05-02;19,02
2025-05-03;19,09
2025-05-04;11,81
2025-05-05;9,68
2025-05-06;4,58
2025-05-07;11,41
2025-05-08;12,56
2025-05-09;14,34
2025-05-10;14,34
2025-05-11;21,17
2025-05-12;22,97
2025-05-13;24,19
2025-05-14;24,52
2025-05-15;21,84
2025-05-16;21,29
2025-05-17;20,97
2025-05-18;18,36
2025-05-19;21,3
2025-05-20;20,66
2025-05-21;23,36
2025-05-22;9,9
2025-05-23;8,07
2025-05-24;18,16
2025-05-25;26,53
2025-05-26;8,23
2025-05-27;7,84
2025-05-28;13,15
2025-05-29;6,98
2025-05-30;18,73
2025-05-31;25,98
