Datum;Kostal
2024-07-01;8,51
2024-07-02;14,5
2024-07-03;10,8
2024-07-04;10,08
2024-07-05;14,67
2024-07-06;22,94
2024-07-07;15,93
2024-07-08;12,25
2024-07-09;23,1
2024-07-10;21,1
2024-07-11;20,53
2024-07-12;22,61
2024-07-13;11,48
2024-07-14;8,1
2024-07-15;20,13
2024-07-16;22,56
2024-07-17;18,01
2024-07-18;14,7
2024-07-19;21,52
2024-07-20;18,45
2024-07-21;24,98
2024-07-22;20,49
2024-07-23;13,19
2024-07-24;18,64
2024-07-25;21,58
2024-07-26;21,09
2024-07-27;23,78
2024-07-28;21,71
2024-07-29;12,16
2024-07-30;23,46
2024-07-31;19,87
