Datum;Kostal
2024-02-01;0,016
2024-02-02;0,018
2024-02-03;0,017
2024-02-04;0,037
2024-02-05;0,023
2024-02-06;0,011
2024-02-07;0,018
2024-02-08;0,02
2024-02-09;0,026
2024-02-10;0,019
2024-02-11;0,018
2024-02-12;0,033
2024-02-13;0,039
2024-02-14;0,043
2024-02-15;0,045
2024-02-16;0,036
2024-02-17;0,038
2024-02-18;0,012
2024-02-19;0,017
2024-02-20;0,025
2024-02-21;0,034
2024-02-22;0,012
2024-02-23;0,024
2024-02-24;0,014
2024-02-25;0,022
2024-02-26;0,027
2024-02-27;0,015
2024-02-28;0,028
2024-02-29;0,026
