Datum;Kostal
2024-03-01;0,032
2024-03-02;0,034
2024-03-03;0,04
2024-03-04;0,034
2024-03-05;0,037
2024-03-06;0,019
2024-03-07;0,007
2024-03-08;0,032
2024-03-09;0,028
2024-03-10;0,048
2024-03-11;0,039
2024-03-12;0,029
2024-03-13;0,037
2024-03-14;0,029
2024-03-15;0,019
2024-03-16;0,029
2024-03-17;0,041
2024-03-18;0,026
2024-03-19;0,024
2024-03-20;0,04
2024-03-21;0,037
2024-03-22;0,026
2024-03-23;0,014
2024-03-24;0,034
2024-03-25;0,014
2024-03-26;0,038
2024-03-27;0,041
2024-03-28;0,044
2024-03-29;0,027
2024-03-30;0,03
2024-03-31;0,038
