Datum;Kostal
2026-01-01;5,54
2026-01-02;5,71
2026-01-03;1,68
2026-01-04;0,16
2026-01-05;0,59
2026-01-06;0,35
2026-01-07;0,77
2026-01-08;0,71
2026-01-09;0,21
2026-01-10;3,19
2026-01-11;0,9
2026-01-12;0,5
2026-01-13;1,34
2026-01-14;0,013
2026-01-15;5,14
2026-01-16;6,52
2026-01-17;4,41
2026-01-18;6,47
2026-01-19;2,74
2026-01-20;1,96
2026-01-21;2,72
2026-01-22;2,52
2026-01-23;2,71
2026-01-24;6,39
2026-01-25;5,37
2026-01-26;2,05
2026-01-27;2,89
2026-01-28;6,14
2026-01-29;2,2
2026-01-30;2,01
2026-01-31;3,55
