Datum;Kostal
2024-06-01;3,53
2024-06-02;6,86
2024-06-03;12,67
2024-06-04;6,68
2024-06-05;27,84
2024-06-06;19,88
2024-06-07;25,09
2024-06-08;15,86
2024-06-09;17,74
2024-06-10;16,61
2024-06-11;16,06
2024-06-12;6,11
2024-06-13;28,91
2024-06-14;28,91
2024-06-15;28,91
2024-06-16;28,91
2024-06-17;26,79
2024-06-18;21,88
2024-06-19;26,23
2024-06-20;21,69
2024-06-21;12,91
2024-06-22;5,7
2024-06-23;15,54
2024-06-24;10,8
2024-06-25;20,99
2024-06-26;18,51
2024-06-27;24,17
2024-06-28;13,6
2024-06-29;23,05
2024-06-30;16,39
