Datum;Kostal
2025-06-01;20,23
2025-06-02;20,1
2025-06-03;7,35
2025-06-04;19,05
2025-06-05;13,27
2025-06-06;7,94
2025-06-07;22,93
2025-06-08;10,35
2025-06-09;17,23
2025-06-10;23,95
2025-06-11;22,94
2025-06-12;23,39
2025-06-13;22,59
2025-06-14;22,01
2025-06-15;26,24
2025-06-16;20,42
2025-06-17;24,4
2025-06-18;23,22
2025-06-19;23,03
2025-06-20;21,95
2025-06-21;21,99
2025-06-22;21,77
2025-06-23;21,97
2025-06-24;19,7
2025-06-25;24,54
2025-06-26;21,87
2025-06-27;9,33
2025-06-28;18,99
2025-06-29;21,43
2025-06-30;20,14
