Datum;Kostal
2024-11-01;5,76
2024-11-02;7,38
2024-11-03;2,49
2024-11-04;6,34
2024-11-05;5,23
2024-11-06;5,6
2024-11-07;3,32
2024-11-08;4,06
2024-11-09;8,42
2024-11-10;2,3
2024-11-11;3,08
2024-11-12;2,37
2024-11-13;4,38
2024-11-14;0,91
2024-11-15;6,7
2024-11-16;8,14
2024-11-17;4,59
2024-11-18;6,83
2024-11-19;5,8
2024-11-20;2,44
2024-11-21;4,94
2024-11-22;2,96
2024-11-24;0,002
2024-11-25;0,32
2024-11-26;5,82
2024-11-27;2,94
2024-11-28;6,89
2024-11-29;0,62
2024-11-30;6,82
