Datum;Kostal
2024-10-01;11,81
2024-10-02;4,78
2024-10-03;5,97
2024-10-04;7,27
2024-10-05;2,9
2024-10-06;11,38
2024-10-07;10,74
2024-10-08;12,01
2024-10-09;5,51
2024-10-10;11,19
2024-10-11;5,51
2024-10-12;5,52
2024-10-13;6,19
2024-10-14;5,03
2024-10-15;6,94
2024-10-16;5,23
2024-10-17;2,55
2024-10-18;8,6
2024-10-19;4,53
2024-10-20;5,3
2024-10-21;9,45
2024-10-22;5,95
2024-10-23;4,29
2024-10-24;1,69
2024-10-25;5,06
2024-10-26;0,03
2024-10-27;6,4
2024-10-28;9,93
2024-10-29;3,55
2024-10-30;3,76
2024-10-31;2,65
