Datum;Kostal
2024-01-01;0,03
2024-01-02;0,049
2024-01-03;0,022
2024-01-04;0,016
2024-01-05;0,014
2024-01-06;0,015
2024-01-07;0,018
2024-01-08;0,013
2024-01-09;0,022
2024-01-10;0,014
2024-01-11;0,014
2024-01-12;0,016
2024-01-13;0,02
2024-01-14;0,026
2024-01-15;0,06
2024-01-16;0,022
2024-01-17;0,032
2024-01-18;0,025
2024-01-19;0,015
2024-01-20;0,026
2024-01-21;0,019
2024-01-22;0,007
2024-01-23;0,025
2024-01-24;0,014
2024-01-25;0,034
2024-01-26;0,033
2024-01-27;0,029
2024-01-28;0,018
2024-01-29;0,051
2024-01-30;0,018
2024-01-31;0,023
