Datum;Kostal
2023-05-01;15,94
2023-05-02;5,82
2023-05-03;13,04
2023-05-04;22,53
2023-05-05;18,39
2023-05-06;19,45
2023-05-07;18,09
2023-05-08;17,46
2023-05-09;9,39
2023-05-10;17,46
2023-05-11;5,99
2023-05-12;10,98
2023-05-13;17,9
2023-05-14;10,24
2023-05-15;8,91
2023-05-16;14,4
2023-05-17;6,29
2023-05-18;9,87
2023-05-19;13,73
2023-05-20;15,49
2023-05-21;19,35
2023-05-22;18,1
2023-05-23;20,04
2023-05-24;14,11
2023-05-25;4,88
2023-05-26;23,59
2023-05-27;24,59
2023-05-28;20,35
2023-05-29;20,79
2023-05-30;20,48
2023-05-31;23,55
