Datum;Kostal
2023-08-01;18,82
2023-08-02;6,04
2023-08-03;16,28
2023-08-04;15,07
2023-08-05;17,39
2023-08-06;10,96
2023-08-07;8,6
2023-08-08;9,9
2023-08-09;20,83
2023-08-10;5,85
2023-08-11;18,66
2023-08-12;18,84
2023-08-13;14,22
2023-08-14;19,29
2023-08-15;16,91
2023-08-16;12,77
2023-08-17;15,87
2023-08-18;14,54
2023-08-19;18,56
2023-08-20;15,98
2023-08-21;17,76
2023-08-22;18,49
2023-08-23;15,23
2023-08-24;18,22
2023-08-25;17,21
2023-08-26;7,83
2023-08-27;8,59
2023-08-28;4,15
2023-08-29;2,16
2023-08-30;5,06
2023-08-31;16,05
