entity_id,state,last_changed
sensor.kostal_kwh,2.943,2026-07-10T08:47:33.148Z
sensor.kostal_kwh,2.938,2026-07-10T08:48:33.486Z
sensor.kostal_kwh,2.943,2026-07-10T08:49:33.796Z
sensor.kostal_kwh,2.942,2026-07-10T08:50:34.101Z
sensor.kostal_kwh,2.9370000000000003,2026-07-10T08:51:34.502Z
sensor.kostal_kwh,2.932,2026-07-10T08:52:34.826Z
sensor.kostal_kwh,2.927,2026-07-10T08:53:35.201Z
sensor.kostal_kwh,2.9250000000000003,2026-07-10T08:54:35.514Z
sensor.kostal_kwh,2.92,2026-07-10T08:55:35.834Z
sensor.kostal_kwh,2.9250000000000003,2026-07-10T08:56:36.217Z
sensor.kostal_kwh,2.922,2026-07-10T08:57:36.521Z
sensor.kostal_kwh,2.923,2026-07-10T08:58:36.831Z
sensor.kostal_kwh,2.9290000000000003,2026-07-10T08:59:37.234Z
sensor.kostal_kwh,2.926,2026-07-10T09:00:47.567Z
sensor.kostal_kwh,2.93,2026-07-10T09:02:48.271Z
sensor.kostal_kwh,2.931,2026-07-10T09:03:48.583Z
sensor.kostal_kwh,2.932,2026-07-10T09:04:48.997Z
sensor.kostal_kwh,2.928,2026-07-10T09:05:49.313Z
sensor.kostal_kwh,2.926,2026-07-10T09:07:55.015Z
sensor.kostal_kwh,2.922,2026-07-10T09:08:55.329Z
sensor.kostal_kwh,2.914,2026-07-10T09:10:00.714Z
sensor.kostal_kwh,2.918,2026-07-10T09:11:01.013Z
sensor.kostal_kwh,2.91,2026-07-10T09:12:01.312Z
sensor.kostal_kwh,2.902,2026-07-10T09:13:01.680Z
sensor.kostal_kwh,2.915,2026-07-10T09:15:02.301Z
sensor.kostal_kwh,2.9050000000000002,2026-07-10T09:16:02.627Z
sensor.kostal_kwh,2.902,2026-07-10T09:17:02.952Z
sensor.kostal_kwh,2.892,2026-07-10T09:19:03.675Z
sensor.kostal_kwh,2.896,2026-07-10T09:20:03.996Z
sensor.kostal_kwh,2.8930000000000002,2026-07-10T09:21:04.377Z
sensor.kostal_kwh,2.892,2026-07-10T09:22:04.692Z
sensor.kostal_kwh,2.888,2026-07-10T09:23:05.007Z
sensor.kostal_kwh,2.8890000000000002,2026-07-10T09:24:05.334Z
sensor.kostal_kwh,2.876,2026-07-10T09:26:06.059Z
