Zeit;Verbrauch
2021-04-19 00:00:00;0,0
2021-04-19 01:00:00;0,0
2021-04-19 02:00:00;0,0
2021-04-19 03:00:00;0,0
2021-04-19 04:00:00;0,0
2021-04-19 05:00:00;0,0
2021-04-19 06:00:00;0,0
2021-04-19 07:00:00;0,0
2021-04-19 08:00:00;0,0
2021-04-19 09:00:00;2,163
2021-04-19 10:00:00;2,399
2021-04-19 11:00:00;2,32
2021-04-19 12:00:00;1,983
2021-04-19 13:00:00;1,763
2021-04-19 14:00:00;1,827
2021-04-19 15:00:00;2,046
2021-04-19 16:00:00;2,067
2021-04-19 17:00:00;1,865
2021-04-19 18:00:00;1,368
2021-04-19 19:00:00;0,0
2021-04-19 20:00:00;0,0
2021-04-19 21:00:00;0,0
2021-04-19 22:00:00;0,0
2021-04-19 23:00:00;0,0
