Zeit;Verbrauch
2019-11-19 00:00:00;0,0
2019-11-19 01:00:00;0,0
2019-11-19 02:00:00;0,0
2019-11-19 03:00:00;0,0
2019-11-19 04:00:00;0,0
2019-11-19 05:00:00;0,0
2019-11-19 06:00:00;0,0
2019-11-19 07:00:00;0,0
2019-11-19 08:00:00;0,0
2019-11-19 09:00:00;0,224
2019-11-19 10:00:00;0,248
2019-11-19 11:00:00;0,24
2019-11-19 12:00:00;0,205
2019-11-19 13:00:00;0,182
2019-11-19 14:00:00;0,189
2019-11-19 15:00:00;0,212
2019-11-19 16:00:00;0,214
2019-11-19 17:00:00;0,193
2019-11-19 18:00:00;0,142
2019-11-19 19:00:00;0,0
2019-11-19 20:00:00;0,0
2019-11-19 21:00:00;0,0
2019-11-19 22:00:00;0,0
2019-11-19 23:00:00;0,0
