Zeit;Verbrauch
2025-08-17 00:00:00;0,0
2025-08-17 01:00:00;0,0
2025-08-17 02:00:00;0,0
2025-08-17 03:00:00;0,0
2025-08-17 04:00:00;0,0
2025-08-17 05:00:00;0
2025-08-17 06:00:00;0,07
2025-08-17 07:00:00;0,21
2025-08-17 08:00:00;0,52
2025-08-17 09:00:00;0,87
2025-08-17 10:00:00;2,5
2025-08-17 11:00:00;2,38
2025-08-17 12:00:00;2,47
2025-08-17 13:00:00;2,57
2025-08-17 14:00:00;2,2
2025-08-17 15:00:00;1,52
2025-08-17 16:00:00;1,33
2025-08-17 17:00:00;0,27
2025-08-17 18:00:00;0,13
2025-08-17 19:00:00;0,01
2025-08-17 20:00:00;0,0
2025-08-17 21:00:00;0,0
2025-08-17 22:00:00;0,0
2025-08-17 23:00:00;0,0
