Zeit;Verbrauch
2025-08-21 00:00:00;0,0
2025-08-21 01:00:00;0,0
2025-08-21 02:00:00;0,0
2025-08-21 03:00:00;0,0
2025-08-21 04:00:00;0,0
2025-08-21 05:00:00;0
2025-08-21 06:00:00;0,086
2025-08-21 07:00:00;0,72
2025-08-21 08:00:00;0,97
2025-08-21 09:00:00;0,83
2025-08-21 10:00:00;1,74
2025-08-21 11:00:00;0,79
2025-08-21 12:00:00;1,03
2025-08-21 13:00:00;0,8
2025-08-21 14:00:00;0,67
2025-08-21 15:00:00;0,42
2025-08-21 16:00:00;0,2
2025-08-21 17:00:00;0,02
2025-08-21 18:00:00;0,0
2025-08-21 19:00:00;0,0
2025-08-21 20:00:00;0,0
2025-08-21 21:00:00;0,0
2025-08-21 22:00:00;0,0
2025-08-21 23:00:00;0,0
