Zeit;Verbrauch
2021-05-29 00:00:00;0,0
2021-05-29 01:00:00;0,0
2021-05-29 02:00:00;0,0
2021-05-29 03:00:00;0,0
2021-05-29 04:00:00;0,0
2021-05-29 05:00:00;0,0
2021-05-29 06:00:00;0,0
2021-05-29 07:00:00;0,0
2021-05-29 08:00:00;0,0
2021-05-29 09:00:00;2,19
2021-05-29 10:00:00;2,428
2021-05-29 11:00:00;2,348
2021-05-29 12:00:00;2,007
2021-05-29 13:00:00;1,784
2021-05-29 14:00:00;1,849
2021-05-29 15:00:00;2,071
2021-05-29 16:00:00;2,093
2021-05-29 17:00:00;1,887
2021-05-29 18:00:00;1,384
2021-05-29 19:00:00;0,0
2021-05-29 20:00:00;0,0
2021-05-29 21:00:00;0,0
2021-05-29 22:00:00;0,0
2021-05-29 23:00:00;0,0
