Zeit;Verbrauch
2018-04-07 00:00:00;0,0
2018-04-07 01:00:00;0,0
2018-04-07 02:00:00;0,0
2018-04-07 03:00:00;0,0
2018-04-07 04:00:00;0,0
2018-04-07 05:00:00;0,0
2018-04-07 06:00:00;0,0
2018-04-07 07:00:00;0,0
2018-04-07 08:00:00;0,0
2018-04-07 09:00:00;2,014
2018-04-07 10:00:00;2,233
2018-04-07 11:00:00;2,159
2018-04-07 12:00:00;1,846
2018-04-07 13:00:00;1,641
2018-04-07 14:00:00;1,701
2018-04-07 15:00:00;1,904
2018-04-07 16:00:00;1,924
2018-04-07 17:00:00;1,736
2018-04-07 18:00:00;1,273
2018-04-07 19:00:00;0,0
2018-04-07 20:00:00;0,0
2018-04-07 21:00:00;0,0
2018-04-07 22:00:00;0,0
2018-04-07 23:00:00;0,0
