Zeit;Verbrauch
2016-07-10 00:00:00;0,0
2016-07-10 01:00:00;0,0
2016-07-10 02:00:00;0,0
2016-07-10 03:00:00;0,0
2016-07-10 04:00:00;0,0
2016-07-10 05:00:00;0,0
2016-07-10 06:00:00;0,0
2016-07-10 07:00:00;0,0
2016-07-10 08:00:00;0,0
2016-07-10 09:00:00;2,588
2016-07-10 10:00:00;2,87
2016-07-10 11:00:00;2,775
2016-07-10 12:00:00;2,372
2016-07-10 13:00:00;2,109
2016-07-10 14:00:00;2,186
2016-07-10 15:00:00;2,448
2016-07-10 16:00:00;2,474
2016-07-10 17:00:00;2,231
2016-07-10 18:00:00;1,636
2016-07-10 19:00:00;0,0
2016-07-10 20:00:00;0,0
2016-07-10 21:00:00;0,0
2016-07-10 22:00:00;0,0
2016-07-10 23:00:00;0,0
