Zeit;Verbrauch
2018-06-02 00:00:00;0,0
2018-06-02 01:00:00;0,0
2018-06-02 02:00:00;0,0
2018-06-02 03:00:00;0,0
2018-06-02 04:00:00;0,0
2018-06-02 05:00:00;0,0
2018-06-02 06:00:00;0,0
2018-06-02 07:00:00;0,0
2018-06-02 08:00:00;0,0
2018-06-02 09:00:00;2,503
2018-06-02 10:00:00;2,776
2018-06-02 11:00:00;2,684
2018-06-02 12:00:00;2,294
2018-06-02 13:00:00;2,04
2018-06-02 14:00:00;2,114
2018-06-02 15:00:00;2,367
2018-06-02 16:00:00;2,392
2018-06-02 17:00:00;2,157
2018-06-02 18:00:00;1,582
2018-06-02 19:00:00;0,0
2018-06-02 20:00:00;0,0
2018-06-02 21:00:00;0,0
2018-06-02 22:00:00;0,0
2018-06-02 23:00:00;0,0
