Zeit;Verbrauch
2025-07-10 00:00:00;0,0
2025-07-10 01:00:00;0,0
2025-07-10 02:00:00;0,0
2025-07-10 03:00:00;0,0
2025-07-10 04:00:00;0
2025-07-10 05:00:00;0,053
2025-07-10 06:00:00;0,2
2025-07-10 07:00:00;0,45
2025-07-10 08:00:00;2,93
2025-07-10 09:00:00;3,16
2025-07-10 10:00:00;3,22
2025-07-10 11:00:00;3,4
2025-07-10 12:00:00;3,56
2025-07-10 13:00:00;3,11
2025-07-10 14:00:00;2,49
2025-07-10 15:00:00;1,87
2025-07-10 16:00:00;1,6
2025-07-10 17:00:00;0,94
2025-07-10 18:00:00;0,13
2025-07-10 19:00:00;0,06
2025-07-10 20:00:00;0,01
2025-07-10 21:00:00;0,0
2025-07-10 22:00:00;0,0
2025-07-10 23:00:00;0,0
