Zeit;Verbrauch
2025-05-16 00:00:00;0,0
2025-05-16 01:00:00;0,0
2025-05-16 02:00:00;0,0
2025-05-16 03:00:00;0,0
2025-05-16 04:00:00;0
2025-05-16 05:00:00;0,056
2025-05-16 06:00:00;0,17
2025-05-16 07:00:00;0,27
2025-05-16 08:00:00;2,02
2025-05-16 09:00:00;2,18
2025-05-16 10:00:00;1,8
2025-05-16 11:00:00;2,07
2025-05-16 12:00:00;3,76
2025-05-16 13:00:00;3,5
2025-05-16 14:00:00;2,67
2025-05-16 15:00:00;1,21
2025-05-16 16:00:00;0,63
2025-05-16 17:00:00;0,37
2025-05-16 18:00:00;0,21
2025-05-16 19:00:00;0,03
2025-05-16 20:00:00;0,0
2025-05-16 21:00:00;0,0
2025-05-16 22:00:00;0,0
2025-05-16 23:00:00;0,0
