Zeit;Verbrauch
2017-03-26 00:00:00;0,0
2017-03-26 01:00:00;0,0
2017-03-26 02:00:00;0,0
2017-03-26 03:00:00;0,0
2017-03-26 04:00:00;0,0
2017-03-26 05:00:00;0,0
2017-03-26 06:00:00;0,0
2017-03-26 07:00:00;0,0
2017-03-26 08:00:00;0,0
2017-03-26 09:00:00;1,095
2017-03-26 10:00:00;1,214
2017-03-26 11:00:00;1,174
2017-03-26 12:00:00;1,003
2017-03-26 13:00:00;0,892
2017-03-26 14:00:00;0,925
2017-03-26 15:00:00;1,035
2017-03-26 16:00:00;1,046
2017-03-26 17:00:00;0,944
2017-03-26 18:00:00;0,692
2017-03-26 19:00:00;0,0
2017-03-26 20:00:00;0,0
2017-03-26 21:00:00;0,0
2017-03-26 22:00:00;0,0
2017-03-26 23:00:00;0,0
