Zeit;Verbrauch
2017-07-30 00:00:00;0,0
2017-07-30 01:00:00;0,0
2017-07-30 02:00:00;0,0
2017-07-30 03:00:00;0,0
2017-07-30 04:00:00;0,0
2017-07-30 05:00:00;0,0
2017-07-30 06:00:00;0,0
2017-07-30 07:00:00;0,0
2017-07-30 08:00:00;0,0
2017-07-30 09:00:00;2,055
2017-07-30 10:00:00;2,279
2017-07-30 11:00:00;2,204
2017-07-30 12:00:00;1,884
2017-07-30 13:00:00;1,675
2017-07-30 14:00:00;1,736
2017-07-30 15:00:00;1,944
2017-07-30 16:00:00;1,964
2017-07-30 17:00:00;1,771
2017-07-30 18:00:00;1,299
2017-07-30 19:00:00;0,0
2017-07-30 20:00:00;0,0
2017-07-30 21:00:00;0,0
2017-07-30 22:00:00;0,0
2017-07-30 23:00:00;0,0
