Zeit;Verbrauch
2025-04-04 00:00:00;0,0
2025-04-04 01:00:00;0,0
2025-04-04 02:00:00;0,0
2025-04-04 03:00:00;0,0
2025-04-04 04:00:00;0,0
2025-04-04 05:00:00;0
2025-04-04 06:00:00;0,053
2025-04-04 07:00:00;0,15
2025-04-04 08:00:00;0,3
2025-04-04 09:00:00;1,37
2025-04-04 10:00:00;2,58
2025-04-04 11:00:00;2,74
2025-04-04 12:00:00;2,27
2025-04-04 13:00:00;2,07
2025-04-04 14:00:00;1,94
2025-04-04 15:00:00;1,5
2025-04-04 16:00:00;1,09
2025-04-04 17:00:00;0,15
2025-04-04 18:00:00;0,04
2025-04-04 19:00:00;0,0
2025-04-04 20:00:00;0,0
2025-04-04 21:00:00;0,0
2025-04-04 22:00:00;0,0
2025-04-04 23:00:00;0,0
