Zeit;Verbrauch
2015-04-10 00:00:00;0,0
2015-04-10 01:00:00;0,0
2015-04-10 02:00:00;0,0
2015-04-10 03:00:00;0,0
2015-04-10 04:00:00;0,0
2015-04-10 05:00:00;0,0
2015-04-10 06:00:00;0,0
2015-04-10 07:00:00;0,0
2015-04-10 08:00:00;0,0
2015-04-10 09:00:00;2,008
2015-04-10 10:00:00;2,227
2015-04-10 11:00:00;2,153
2015-04-10 12:00:00;1,841
2015-04-10 13:00:00;1,636
2015-04-10 14:00:00;1,696
2015-04-10 15:00:00;1,899
2015-04-10 16:00:00;1,919
2015-04-10 17:00:00;1,731
2015-04-10 18:00:00;1,27
2015-04-10 19:00:00;0,0
2015-04-10 20:00:00;0,0
2015-04-10 21:00:00;0,0
2015-04-10 22:00:00;0,0
2015-04-10 23:00:00;0,0
