Zeit;Verbrauch
2017-04-23 00:00:00;0,0
2017-04-23 01:00:00;0,0
2017-04-23 02:00:00;0,0
2017-04-23 03:00:00;0,0
2017-04-23 04:00:00;0,0
2017-04-23 05:00:00;0,0
2017-04-23 06:00:00;0,0
2017-04-23 07:00:00;0,0
2017-04-23 08:00:00;0,0
2017-04-23 09:00:00;2,246
2017-04-23 10:00:00;2,491
2017-04-23 11:00:00;2,409
2017-04-23 12:00:00;2,059
2017-04-23 13:00:00;1,83
2017-04-23 14:00:00;1,897
2017-04-23 15:00:00;2,124
2017-04-23 16:00:00;2,147
2017-04-23 17:00:00;1,936
2017-04-23 18:00:00;1,42
2017-04-23 19:00:00;0,0
2017-04-23 20:00:00;0,0
2017-04-23 21:00:00;0,0
2017-04-23 22:00:00;0,0
2017-04-23 23:00:00;0,0
